"","genus","Family","most_common_life_form","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","fm_scoring_corolla_diam","n_points","Vol","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9","seed.length.mean","niche_through_time"
"Melastomataceae_Acanthella","Acanthella","Melastomataceae","woody","Dry",50,100,4.31748811353631,4,5,3,4,"3.5","biotic",2.77258872223978,92,1.51086657686812,5.69649901834365,3.8374817245268,5.69875697562702,5.69354359782273,7.97596473789823,3.88615941583915,7.12521925223757,5.63624414192213,-0.944923556298656,5.28533109165934,3.69835214154102,3.8807637799948,2.78034026926107,0.81,0.19,"closed","closed","closed",26.991,2,0.026,0.015,0.004,1.50407739677627,-1.78463690023497
"Myrtaceae_Accara","Accara","Myrtaceae","woody","Fleshy",40,40,3.68887945411394,3,3,NA,NA,"insects","biotic",2.70805020110221,16,-1.54512499021019,5.68332601609569,4.34380762025635,5.69052396177412,5.67251920125245,7.23096906971369,4.45337350892271,6.74214675709937,3.51678011113996,-0.48759285108194,5.28240044024942,3.39953323577279,3.95436350700101,2.88034926184078,0.38,0.62,"open","open","open",40.582,1,0,0,0,1.09861228866811,-5.24844960875562
"Melastomataceae_Aciotis","Aciotis","Melastomataceae","herbaceous","Fleshy",30,80,NA,0.2,0.7,0.15,0.5,"insects","biotic",2.19722457733622,1425,4.78891059870725,5.69565031174744,3.93831877507573,5.69869033825372,5.69234135781221,7.8394603610359,3.8055471019788,6.92526391454943,5.63972600118735,-0.343153436256821,5.26941773733035,3.80760015784053,3.90263873777876,2.85587395148023,0.94,0.06,"closed","closed","closed",17.399,15,0.156,0.12,0.05,-0.798507696217772,1.93249786540267
"Melastomataceae_Acisanthera","Acisanthera","Melastomataceae","herbaceous","Dry",50,100,4.31748811353631,0.55,0.75,0.35,0.6,"insects","biotic",2.89037175789616,615,3.65188755621488,5.6914982872552,4.19752111280099,5.69818246918982,5.68302826809796,7.48685894221484,4.02895211481972,6.67661173345736,4.94896144313202,-0.79437630846015,5.28170397883766,3.45009370432747,3.98891345181313,2.79068570168786,0.48,0.52,"open","open","closed",13.4,14,0.197,0.15,0.062,-0.430782916092454,1.05663284925802
"Myrtaceae_Actinodium","Actinodium","Myrtaceae","woody","Dry",1,1,0.405465108108164,NA,NA,NA,NA,"insects","biotic",1.09861228866811,43,-2.0352134861313,5.66547725095414,4.18892518595925,5.67942240670825,5.65202556820491,6.52658317677759,3.91950797989534,5.68758370523839,4.15240619006332,-1.45133154980067,5.2862928000152,3.32553918154971,4.11965243450632,2.86618624767578,0,1,"open","open","open",16.066,1,0,0,0,NA,-4.81191872388292
"Melastomataceae_Adelobotrys","Adelobotrys","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.55,2.5,0.2,0.5,"insects","biotic",3.04452243772342,449,4.07491697588506,5.69400096541693,3.88744628804001,5.69622782545425,5.69115492333547,7.98795044516825,3.53524180866096,6.99038300105735,5.99604507699947,-0.0594268007539809,5.25694476009887,4.02730171950668,3.89232468478485,2.87081287774884,1,0,"closed","closed","closed",23.735,31,0.145,0.117,0.058,0.421994410059375,0.907966223881781
"Lythraceae_Adenaria","Adenaria","Lythraceae","woody","Dry",7,20,2.60268968544438,0.9,1.3,0.8,1.2,"abiotic","abiotic",1.84054963339749,381,4.44697954828353,5.68611027892152,4.14383791345308,5.68996879733465,5.68027723967861,7.51586204896756,3.89620422102666,6.63729480616743,5.23547888762385,0.397002134715437,5.20208139683431,3.91156104260358,3.99031292637016,2.8653738875056,0.86,0.14,"closed","closed","closed",11.847,1,0,0,0,0.0953101798043249,1.97490487731091
"Myrtaceae_Agonis","Agonis","Myrtaceae","woody","Dry",3,6,1.79175946922805,1.2,1.5,NA,NA,"insects","biotic",2.30258509299405,122,-0.0385058510333089,5.66807192958781,4.08496359189125,5.68210444758747,5.65486639355785,6.70561008844178,4.09384035128725,6.01150673024705,4.07966794151213,-1.25636944784516,5.28341604382478,3.47620878965436,4.1044943266553,2.8872611043984,0,1,"open","open","open",32.903,7,0.059,0.042,0.014,0.300104592450338,-3.53206969005783
"Myrtaceae_Algrizea","Algrizea","Myrtaceae","woody","Fleshy",1,3,0.693147180559945,4,5,3,3,"insects","biotic",2.04769284336526,43,-0.148134392631873,5.6904164932709,4.31986806213927,5.69498999832,5.68255038509741,6.55461828229845,4.08965804740775,5.83381981949695,3.98501463670642,-0.61124974683545,5.27318240073673,2.89435482659107,4.0836020812025,2.75442739113763,0.18,0.82,"open","open","open",40.225,2,0.017,0.01,0.002,1.50407739677627,-3.84262308551032
"Melastomataceae_Allomaieta","Allomaieta","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.2,0.65,0.1,0.4,"insects","biotic",1.70474809223843,35,2.41588938694759,5.6809713466356,3.99349560054048,5.68184401663522,5.67901769736518,7.93321075182801,3.54788405828863,6.90769399606364,5.82259614119112,0.799532641149716,5.18813243015868,4.12777457502011,3.95937045719945,2.84787173706635,0.99,0.01,"closed","closed","closed",18.08,9,0.122,0.089,0.033,-0.85566611005772,-0.478916968016439
