"genus","range_size"
"Lythrum",2215999.23
"Decodon",966761.44
"Trapa",3482084.56
"Lafoensia",2120285.61
"Cuphea",1859488.05
"Rotala",6012043.39
"Pleurophora",840591.94
"Lagerstroemia",5503894.33
"Adenaria",1896852.36
"Diplusodon",831029.99
"Ammannia",6223758.08
"Ginoria",421670.69
"Heimia",1527475.68
"Physocalymma",1386503.87
"Crenea",3173110.46
"Duabanga",2418635.98
"Lawsonia",6266191.95
"Galpinia",5526122.88
"Microdiptera",3847.69
"Hemitrapa",6660.28
"Punica",1198411.31
"Sonneratia",1398566.01
"Enigmocarpon",3524.51
"Quereuxia",2311.74
"Sahnianthus",2871.36
"Sahnipushpam",5389.45
"Koehneria",217213.71
"Woodfordia",2468482.51
"Capuronia",859089.17
"Pemphis",633409.42
"Pehria",150314.75
"Didiplis",634064.78
