"","N","Vol","Pos1","Pos2","Pos3","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap"
"Acca macrostema.tif",7,0,-0.51208084933586,0.0147099547482969,4.22340169387826,12.7566524233137,64.3905726841518,14.237676688603,10.7199355534145,621.700060708182,77.5090037754604,348.720431191581,22.2634045396532,3.0473484141486,136.21507699149,61.7092638015747,63.8575936726161,18.7006342070443
"Accara elegans.tif",16,0.213285210993464,1.09081929994549,1.74464309859584,0.38466934007401,20.7754065990448,77.0001692771912,22.8986982107162,17.6161108613014,1381.5606842041,85.9162950515747,847.377899169922,33.6758213043213,0.6141028534621,196.841815710068,29.9501171410084,52.1624823212624,17.8204961121082
"Actinodium cunninghamii.tif",41,0.112139220982676,0.375833930543436,0.418997181767054,-0.519979941867629,15.5184620880499,66.9165359124905,19.606086126188,11.6346836787898,677.550991895722,50.1012371342357,289.878992592416,63.6652735268197,0.237485084046678,197.829218980743,27.2463979255862,61.594196180018,17.4980638201644
"Agonis baxteri.tif",22,0.076805082014375,0.462068155827701,0.191084423159419,-0.445649439612028,16.7811364260587,64.9734202298251,20.8073798959905,12.7686659206044,523.340565074574,38.0467970587991,205.405595606024,69.4960642727939,0.293464143167843,192.459718126239,25.2864944681977,65.9643285780242,17.2336481231632
"Agonis flexuosa.tif",63,0.543067530405098,0.372569496750698,1.04982054732047,-0.339249743355477,16.4763033276513,53.8354473416767,20.5176840888129,12.8148557118007,952.630126468719,69.9998925829691,510.706029013982,53.7163779849098,0.271809034107719,198.129925509294,36.4468609119455,59.0246525804202,18.3688350232939
"Agonis grandiflora.tif",7,0.0174223820465173,0.866468825859997,0.726826899396965,0.131547356348939,17.6480982644217,71.138610294887,22.9380422319685,13.0078085490635,897.898141043527,82.0377044677734,539.341452462333,39.0671740940639,0.54238384110587,197.991847446987,31.3274337904794,60.8749208450317,18.2476626464299
"Agonis theiformis.tif",47,0.119213426709524,0.217188926438394,0.790399257980019,-0.484016991786947,15.4988516340864,60.0746011936918,19.3446969377234,11.8948407274611,808.096428404463,52.734113814983,359.401965526824,68.2681193250291,0.264151033251844,198.004791016274,31.7845763652883,58.4709876040195,17.8231145422509
"Algrizea macrochlamys.tif",24,0.329073750462761,1.31124668193804,0.479146466333542,0.172944823102779,22.1834442615509,79.2015183766683,23.4341595172882,19.8310471375783,692.978837331136,71.8343402544657,377.356431325277,35.4190938075384,0.642580430333813,192.685364246368,19.1416705002387,58.6112692753474,15.6365311741829
"Algrizea minor.tif",19,0.3011710378874,1.26285814436537,0.666288268689797,-0.337198651121305,23.6537381222374,71.3329072249563,25.1304316269724,21.3616827914589,669.618517423931,46.4740622671027,281.346549586246,67.1855101334421,0.433483623360333,197.880209872597,16.6316178033226,60.6858408576564,15.8362972108941
"Allosyncarpia ternata.tif",22,0.151142376728649,2.39836483530633,1.56747195875362,0.226899441375738,27.0646609393033,88.1414264332164,29.8076095581055,23.7295553900979,1428.36906294389,107.969461961226,986.924050071023,3.96638000011444,0.282592321661386,190.509726957841,22.6087256453254,58.8555273576216,15.7789621786638
"Aluta appressa.tif",34,0.0348772431967174,1.12856432585418,-0.716388383189197,-0.348577539035329,17.7992890862858,99.2116122526281,24.1120488783892,11.2108440118677,303.888565063477,24.1064445832196,105.055774913115,52.1860959670123,0.129335493616322,172.425512650434,13.2589205012602,72.5147419536815,15.2901982489754
"Aluta aspera.tif",120,0.36148697760164,1.72015006513083,-1.00145176847636,0.318242709405569,21.1195301055908,110.150478935242,29.1803636233012,12.8373206853867,262.288824717204,49.9666079044342,117.078742917379,25.4257757902145,0.0991209258480618,131.324172019958,4.73096100091934,70.7155803044637,13.7150864740213
"Aluta maisonneuvei.tif",371,1.04727278415689,2.07559163891258,-1.03808772484877,-0.0467906507138993,22.3612592033941,114.857190237534,30.0747473991785,12.9876886069614,258.543983850196,46.227618202045,115.381958768696,27.6180351082527,0.146187341834777,157.262794567247,3.02141837667262,72.4439315256083,12.8918797365739
"Aluta quadrata.tif",4,NA,2.03840780356642,-1.26263410554245,1.96685532334856,25.8509073257446,114.815422058105,33.0944051742554,16.9543623924255,253.367683410645,71.6230964660645,152.986259460449,9.55373120307922,0.450420636683702,65.6315019130707,8.94077956676483,75.7396321296692,14.0830733776093
"Aluta teres.tif",3,NA,1.61703698186015,-0.906535347373674,0.191894832268895,21.1840648651123,109.087092081706,29.4261430104574,12.2261489232381,250.191243489583,38.5220909118652,101.028325398763,30.0722579956055,0.0942814101775487,134.487691879272,3.66058365503947,69.594300587972,13.8626424471537
"Amomyrtella guili.tif",17,0.394552964852612,0.462520916713839,0.354455810185613,3.25730343028733,17.0518223257626,85.6294946109547,20.8859809987685,11.9578176105724,820.138916015625,85.015900555779,473.030293184168,20.8026937035953,2.43149783462286,155.053063897526,35.0988632370444,58.8526660133811,18.5466402979458
"Amomyrtella irregularis.tif",1,NA,-0.387187754915596,0.936080471590563,1.5697965195321,14.7469816207886,78.0001373291016,15.3685512542725,14.3685331344604,835.208068847656,38.8678016662598,323.168395996094,118.842987060547,1.65213406085968,183.97838973999,58.556191444397,57.0123891830444,19.7902235984802
"Amomyrtus luma.tif",30,11.186937542666,-1.34660444119136,2.47720538044074,1.56065420035982,9.91596568425496,65.7373269399007,14.9263904889425,5.34409838070472,1812.7130086263,53.9543135960897,797.118740844727,193.325440661112,0.744585536917051,127.292873859406,109.042165247599,54.244257068634,21.521017853419
"Amomyrtus meli.tif",8,0.308312153223981,-0.866849319512357,2.85075261771778,0.309855633441839,11.7652156352997,61.793318271637,16.3493218421936,7.68642228841782,1898.90502929688,49.5698285102844,841.168380737305,209.753260612488,0.346806013956666,171.979606389999,98.8806807994843,53.4269869327545,20.5905011296272
"Angophora bakeri.tif",34,1.4574223282427,-0.200398025042134,1.3498621621921,0.700409050483578,16.3540711122401,69.9882106781006,21.6911559385412,10.5948488291572,1002.61450554343,26.5205539535074,360.287982267492,162.951571969425,0.555770363877801,144.368488325792,30.4596049364875,57.5253271495595,19.120362365947
"Angophora costata.tif",151,6.39028171201132,0.41177809926328,1.11356753133812,0.229666963246321,17.9127263138626,76.9268586114542,23.1766122855887,11.8626949360829,973.58528389836,32.8950115671221,372.378438482221,137.343924819239,0.486837992642001,169.960923224359,26.393103787178,59.8225234917984,17.5710232263106
"Angophora crassifolia.tif",4,NA,-0.027114997240169,1.91361957749658,-0.42869839020885,17.9801383018494,52.7330379486084,22.6074733734131,12.8538880348206,1146.42520141602,24.9580850601196,407.56241607666,189.969478607178,0.183160465210676,183.483442306519,31.2472887039185,57.7221648693085,19.2528213262558
"Angophora dichromophloia.tif",2,NA,0.0505485859432466,1.8839494208616,-0.556712421355655,17.7975225448608,54.4178314208984,22.3890895843506,12.5604639053345,1156.53234863281,25.7836933135986,401.329345703125,189.614479064941,0.16202387958765,189.864929199219,28.467357635498,57.6216440200806,18.8640859127045
"Angophora euryphylla.tif",16,0.561670356057977,-0.184591848395329,0.962821559394235,1.04563329525117,16.6113335490227,78.4999239444733,22.2002536058426,10.4921581447124,857.636516571045,29.9565504789352,326.532302856445,134.872483253479,0.512096391990781,119.112984657288,30.6351603269577,57.1039162278175,18.9069197326899
"Angophora floribunda.tif",341,8.53276918173734,0.534602229385188,0.636443687825233,0.243581601113326,17.0145048186227,84.8324525894657,22.7812411792117,10.3918162734627,798.267166987892,29.7647626630722,296.189977472479,125.886854613631,0.514693444818695,167.75532535607,23.6951232703434,62.0600687047487,16.1771892976901
"Angophora hispida.tif",23,0.398466842593421,-0.111668144173147,1.64988167467577,0.100000221376909,17.3399164365686,61.6928898355235,22.3240072830864,11.8852881970613,1071.69914444633,26.259286797565,390.010563062585,177.89025016453,0.307664951552515,162.178637518399,29.2264841881351,57.4857396250186,19.4669628074204
"Angophora inopina.tif",6,0.00912634898713834,0.0656241593090131,1.76172699741616,-0.152410588319986,18.257640838623,62.2221457163493,23.2048947016398,12.8016688028971,1115.07198079427,23.9128125508626,377.842936197917,183.259801228841,0.381697443624337,182.92735587226,29.5904154512617,57.2048418256972,19.4103627734714
