"genera","family","most_common_life_form","keep"
"Acanthella","Melastomataceae",NA,"YES"
"Accara","Myrtaceae","woody perennial","YES"
"Aciotis","Melastomataceae",NA,"YES"
"Acisanthera","Melastomataceae",NA,"YES"
"Actinodium","Myrtaceae","woody perennial","YES"
"Adelobotrys","Melastomataceae",NA,"YES"
"Adenaria","Lythraceae","woody perennial","YES"
"Agonis","Myrtaceae","woody perennial","YES"
"Algrizea","Myrtaceae","woody perennial","YES"
"Allomaieta","Melastomataceae",NA,"YES"
"Allomorphia",NA,NA,"YES"
"Alloneuron","Melastomataceae",NA,"YES"
"Allosyncarpia","Myrtaceae","woody perennial","YES"
"Aluta","Myrtaceae","woody perennial","YES"
"Alzatea","Alzateaceae","woody perennial","YES"
"Ammannia","Lythraceae","annual","YES"
"Amomyrtella","Myrtaceae","woody perennial","YES"
"Amomyrtus","Myrtaceae","woody perennial","YES"
"Amphiblemma","Melastomataceae",NA,"YES"
"Amphorocalyx","Melastomataceae",NA,"YES"
"Anaectocalyx",NA,NA,"YES"
"Angophora","Myrtaceae","woody perennial","YES"
"Antherotoma","Melastomataceae","annual","YES"
"Appendicularia","Melastomataceae",NA,"YES"
"Archirhodomyrtus","Myrtaceae","woody perennial","YES"
"Arillastrum","Myrtaceae","woody perennial","YES"
"Arthrostemma","Melastomataceae",NA,"YES"
"Astartea","Myrtaceae","woody perennial","YES"
"Astereomyrtus",NA,NA,"YES"
"Astrocalyx","Melastomataceae",NA,"YES"
"Astronidium","Melastomataceae","woody perennial","YES"
"Astus","Myrtaceae","woody perennial","YES"
"Austromyrtus","Myrtaceae","woody perennial","YES"
"Axinaea","Melastomataceae",NA,"YES"
"Axinandra","Crypteroniaceae","woody perennial","YES"
"Babingtonia","Myrtaceae","woody perennial","YES"
"Backhousia","Myrtaceae","woody perennial","YES"
"Balaustion","Myrtaceae","woody perennial","YES"
"Barongia","Myrtaceae","woody perennial","YES"
"Barthea","Melastomataceae",NA,"YES"
"Basisperma","Myrtaceae","woody perennial","YES"
"Beaufortia","Myrtaceae","woody perennial","YES"
"Beccarianthus","Melastomataceae",NA,"YES"
"Behuria",NA,NA,"YES"
"Bellucia","Melastomataceae",NA,"YES"
"Bertolonia","Melastomataceae","epiphyte","YES"
"Blakea","Melastomataceae","epiphyte","YES"
"Blastus","Melastomataceae","woody perennial","YES"
"Blepharocalyx","Myrtaceae","woody perennial","YES"
"Boyania","Melastomataceae",NA,"YES"
"Brachyotum","Melastomataceae","woody perennial","YES"
"Brachysiphon",NA,NA,"YES"
"Brasilianthus","Melastomataceae",NA,"YES"
"Bredia","Melastomataceae","woody perennial","YES"
"Buchenavia","Combretaceae","woody perennial","YES"
"Bucquetia","Melastomataceae","woody perennial","YES"
"Callisthene","Vochysiaceae","woody perennial","YES"
"Calvoa","Melastomataceae","epiphyte","YES"
"Calycogonium",NA,NA,"YES"
"Calycolpus","Myrtaceae","woody perennial","YES"
"Calytrix","Myrtaceae","woody perennial","YES"
"Cambessedesia","Melastomataceae",NA,"YES"
"Camissonia","Onagraceae","annual","YES"
"Camissoniopsis","Onagraceae","annual","YES"
"Capuronia","Lythraceae","woody perennial","YES"
"Castratella","Melastomataceae",NA,"YES"
"Catocoryne",NA,NA,"YES"
"Centradenia","Melastomataceae",NA,"YES"
"Centronia","Melastomataceae",NA,"YES"
"Chaetolepis","Melastomataceae",NA,"YES"
"Chaetostoma","Melastomataceae",NA,"YES"
"Chalybea","Melastomataceae",NA,"YES"
"Chamaenerion","Onagraceae",NA,"YES"
"Chamelaucium","Myrtaceae","woody perennial","YES"
"Chamguava","Myrtaceae","woody perennial","YES"
"Charianthus",NA,NA,"YES"
"Cheyniana","Myrtaceae","woody perennial","YES"
"Chylismia","Onagraceae","annual","YES"
"Cincinnobotrys","Melastomataceae",NA,"YES"
"Clarkia","Onagraceae","annual","YES"
"Clidemia","Melastomataceae",NA,"YES"
"Cloezia","Myrtaceae","woody perennial","YES"
"Combretum","Combretaceae","woody perennial","YES"
"Comolia","Melastomataceae",NA,"YES"
"Conocarpus","Combretaceae","woody perennial","YES"
"Conostegia","Melastomataceae",NA,"YES"
"Conothamnus",NA,NA,"YES"
"Corymbia","Myrtaceae","woody perennial","YES"
"Corynanthera","Myrtaceae","woody perennial","YES"
"Crenea","Lythraceae","woody perennial","YES"
"Cuphea","Lythraceae","woody perennial","YES"
"Curitiba","Myrtaceae","woody perennial","YES"
"Cyathostemon","Myrtaceae","woody perennial","YES"
"Cyphotheca","Melastomataceae",NA,"YES"
"Dansiea","Combretaceae","woody perennial","YES"
"Darwinia","Myrtaceae","woody perennial","YES"
"Decaspermum","Myrtaceae","woody perennial","YES"
"Decodon","Lythraceae","herbaceous perennial","YES"
"Desmoscelis","Melastomataceae",NA,"YES"
"Dicellandra","Melastomataceae","epiphyte","YES"
"Dichaetanthera","Melastomataceae","woody perennial","YES"
"Dicrananthera",NA,NA,"YES"
"Didiplis","Lythraceae","woody perennial","YES"
"Diplusodon","Lythraceae","woody perennial","YES"
"Dissochaeta","Melastomataceae","woody perennial","YES"
"Dissotis","Melastomataceae",NA,"YES"
"Dolichoura",NA,NA,"YES"
"Duabanga","Lythraceae","woody perennial","YES"
"Dyonicha",NA,NA,"YES"
"Endonema",NA,NA,"YES"
"Enekbatus","Myrtaceae","woody perennial","YES"
"Epilobium","Onagraceae","herbaceous perennial","YES"
"Eremothera","Onagraceae","annual","YES"
"Ericomyrtus","Myrtaceae","woody perennial","YES"
"Eriocnema","Melastomataceae",NA,"YES"
"Erisma","Vochysiaceae","woody perennial","YES"
"Erismadelphus","Vochysiaceae","woody perennial","YES"
"Ernestia","Melastomataceae",NA,"YES"
"Eucalyptopsis","Myrtaceae","woody perennial","YES"
"Eucalyptus","Myrtaceae","woody perennial","YES"
"Eugenia","Myrtaceae","woody perennial","YES"
"Eulobus","Onagraceae","annual","YES"
"Euryomyrtus","Myrtaceae","woody perennial","YES"
"Feijoa","Myrtaceae","woody perennial","YES"
"Fordiophyton","Melastomataceae",NA,"YES"
"Fritzschia","Melastomataceae",NA,"YES"
"Fuchsia","Onagraceae","woody perennial","YES"
"Galpinia","Lythraceae","woody perennial","YES"
"Gayophytum","Onagraceae","annual","YES"
"Getonia","Combretaceae","woody perennial","YES"
"Ginoria","Lythraceae","woody perennial","YES"
"Glischrocolla",NA,NA,"YES"
"Gongylocarpus","Onagraceae","annual","YES"
"Gossia","Myrtaceae","woody perennial","YES"
"Graffenrieda","Melastomataceae",NA,"YES"
"Gravesia","Melastomataceae","epiphyte","YES"
"Guiera","Combretaceae","woody perennial","YES"
"Guyonia","Melastomataceae","epiphyte","YES"
"Heimia","Lythraceae","woody perennial","YES"
"Henriettea","Melastomataceae",NA,"YES"
"Henriettella",NA,NA,"YES"
"Heterocentron","Melastomataceae",NA,"YES"
"Heteropyxis","Myrtaceae","woody perennial","YES"
"Heterotis","Melastomataceae","woody perennial","YES"
"Homalospermum","Myrtaceae","woody perennial","YES"
"Homoranthus","Myrtaceae","woody perennial","YES"
"Huberia","Melastomataceae",NA,"YES"
"Hypocalymma","Myrtaceae","woody perennial","YES"
"Kanakomyrtus","Myrtaceae","woody perennial","YES"
"Kania","Myrtaceae","woody perennial","YES"
"Kardomia","Myrtaceae","woody perennial","YES"
"Killipia",NA,NA,"YES"
"Kjellbergiodendron","Myrtaceae","woody perennial","YES"
"Koehneria","Lythraceae",NA,"YES"
"Korupodendron","Vochysiaceae","woody perennial","YES"
"Kunzea","Myrtaceae","woody perennial","YES"
"Lagerstroemia","Lythraceae","woody perennial","YES"
"Laguncularia","Combretaceae","woody perennial","YES"
"Lamarchea",NA,NA,"YES"
"Lavoisiera","Melastomataceae",NA,"YES"
"Lawsonia","Lythraceae","woody perennial","YES"
