"group","n_points","d_var","predictor","r.sqr","p","slope"
"Myrtales","234","div.rates","most_common_life_form","0.035","0.004","+"
"Myrtales","234","div.rates","fm_scoring_fruit","0.006","0.242","+"
"Myrtales","228","div.rates","seed.length.mean","0.006","0.245","+"
"Myrtales","234","div.rates","niche_through_time","0.434","0","+"
"Myrtales","228","div.rates","fm_scoring_seed_number","0.005","0.296","+"
"Myrtales","231","div.rates","fm_scoring_corolla_diam","0.001","0.6","+"
"Myrtales","234","div.rates","Vol","0.356","0","+"
"Myrtales","234","div.rates","CHELSA_bio10_01","0.001","0.574","-"
"Myrtales","234","div.rates","CHELSA_bio10_02","0.021","0.027","+"
"Myrtales","234","div.rates","CHELSA_bio10_10","0.002","0.521","+"
"Myrtales","234","div.rates","CHELSA_bio10_11","0.012","0.101","-"
"Myrtales","234","div.rates","CHELSA_bio10_12","0.006","0.244","-"
"Myrtales","234","div.rates","CHELSA_bio10_15","0.006","0.248","+"
"Myrtales","234","div.rates","CHELSA_bio10_16","0.003","0.389","-"
"Myrtales","234","div.rates","CHELSA_bio10_17","0.01","0.129","+"
"Myrtales","234","div.rates","GLOBAL_SLOPE_10MIN","0.003","0.386","-"
"Myrtales","234","div.rates","depthtobedrock2","0.001","0.574","+"
"Myrtales","234","div.rates","meancarbon","0.001","0.716","-"
"Myrtales","234","div.rates","meanpH","0.022","0.025","+"
"Myrtales","234","div.rates","meanwatercap","0","0.863","-"
