"","(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","Dry.or.Fleshy.Fruit","GLOBAL_SLOPE_10MIN","main_habitat","Mean.Corolla.Diameter","Mean.Seed.Length","Mean.Seed.Number.per.Fruit","meancarbon","meanpH","meanwatercap","Most.Common.Life.Form","df","logLik","AICc","delta","weight","rsqs"
"10254",-43.6838636165925,1.45876290515647,NA,0.64320723909776,2.21890516207659,NA,NA,NA,NA,NA,NA,NA,4.5986631721549,NA,"+",7,-373.209698024893,760.933157517676,0,0.0122375549755898,0.158
"10278",-30.0474311493798,1.48515592199668,NA,0.653221390168336,NA,NA,-0.273033884177653,NA,NA,NA,NA,NA,4.01095399269788,NA,"+",7,-373.381459775133,761.276681018156,0.343523500479932,0.0103062215822875,0.157
"10246",-28.8771571262746,1.50058270884191,NA,0.602789604829788,NA,NA,NA,NA,NA,NA,NA,NA,3.80527053537572,NA,"+",6,-374.796835667188,761.977232978211,1.04407546053517,0.00726066752328663,0.146
"10270",-44.2557582338085,1.4415202661831,NA,0.634488217092171,2.21245452012301,"+",NA,NA,NA,NA,NA,NA,4.75932678271527,NA,"+",8,-372.660618693155,761.984831856356,1.05167433868041,0.00723313339964088,0.162
"10382",-44.0220160774942,1.47761432467533,NA,0.647523172672712,2.15692422875595,NA,NA,NA,0.120006905923898,NA,NA,NA,4.67476717371443,NA,"+",8,-372.714523819496,762.092642109037,1.15948459136155,0.00685355300424043,0.162
"10294",-30.7513392666905,1.465827818037,NA,0.645454447083801,NA,"+",-0.281531452426116,NA,NA,NA,NA,NA,4.19425126540163,NA,"+",8,-372.736610687716,762.136815845477,1.20365832780158,0.00670383892595471,0.161
"10286",-40.1945545168079,1.46080491203045,NA,0.664130243086215,1.5829624931214,NA,-0.175989251179367,NA,NA,NA,NA,NA,4.5038524872512,NA,"+",8,-372.747398191278,762.158390852602,1.22523333492609,0.00663190990447961,0.161
"11270",-26.0138195765434,1.43039707708279,NA,0.700326458550479,NA,NA,NA,NA,NA,NA,NA,-0.345600670249216,3.36420946688416,NA,"+",7,-373.828754572235,762.171270612361,1.23811309468499,0.00658933842605421,0.153
"11278",-39.3890672611886,1.41796650190407,NA,0.702721371909277,1.8654403978957,NA,NA,NA,NA,NA,NA,-0.233688501536402,4.17404118658566,NA,"+",8,-372.802554248946,762.268702967938,1.33554545026254,0.0062760247289435,0.161
"10406",-30.7644947391767,1.50334627629616,NA,0.65712285206518,NA,NA,-0.264624440095222,NA,0.120223713993108,NA,NA,NA,4.10306240145741,NA,"+",8,-372.885349150638,762.434292771322,1.50113525364645,0.00577733135864737,0.16
"10510",-44.4200568976754,1.44989408762143,NA,0.640647268167238,2.20130968739015,NA,NA,NA,NA,0.102219216480314,NA,NA,4.78676696561733,NA,"+",8,-372.908237918115,762.480070306277,1.54691278860128,0.00564659724345795,0.16
"10766",-44.2553035809534,1.47307885822265,NA,0.631659473320901,2.27889517183702,NA,NA,NA,NA,NA,0.0637961064544899,NA,4.61769292310983,NA,"+",8,-372.923902201851,762.511398873748,1.57824135607279,0.00555883649123577,0.16
"10790",-30.3297011840874,1.50209607985049,NA,0.642025268142889,NA,NA,-0.292291312092795,NA,NA,NA,0.074458569474136,NA,4.02263629437181,NA,"+",8,-372.998077680892,762.65974983183,1.72659231415412,0.00516142829814417,0.16
"14350",-39.5160485163898,1.45035976022753,NA,0.671036956364307,1.96234911489335,NA,NA,NA,NA,NA,NA,NA,4.41192098925175,-0.777921047071291,"+",8,-373.03366152265,762.730917515346,1.79775999767003,0.00498099415882307,0.159
"14342",-24.3866763840099,1.47637611592782,NA,0.662221322375635,NA,NA,NA,NA,NA,NA,NA,NA,3.63154820665781,-1.42243180815695,"+",7,-374.144607955296,762.802977378482,1.86981986080616,0.0048047238521335,0.151
"10534",-30.9071537336083,1.47590576091249,NA,0.650657990264316,NA,NA,-0.271462648651764,NA,NA,0.103757962158077,NA,NA,4.20709188632964,NA,"+",8,-373.071258831478,762.806112133002,1.87295461532688,0.00479719893595714,0.159
"10256",-60.3425189401767,1.51654551199432,2.74598780170492,0.663429916372921,2.17028186330432,NA,NA,NA,NA,NA,NA,NA,4.84540823357634,NA,"+",8,-373.111330788863,762.886256047772,1.95309853009655,0.00460876642846878,0.159
"11286",-26.5039640175408,1.4057812687694,NA,0.697571693078243,NA,"+",NA,NA,NA,NA,NA,-0.370256702272465,3.51677748214814,NA,"+",8,-373.136894365428,762.937383200903,2.00422568322722,0.00449244303072016,0.158
