"","Estimate","Std. Error","sum_of_weight","Pr(>|z|)"
"main_habitatopen",0.005,0.091,0.105,0.96
"CHELSA_bio10_11",0.296,2.296,0.108,0.897
"meanwatercap",-0.139,0.627,0.147,0.824
"Mean.Seed.Length",0.018,0.069,0.177,0.793
"Mean.Seed.Number.per.Fruit",0.015,0.049,0.203,0.766
"Mean.Corolla.Diameter",0.027,0.077,0.227,0.727
"meancarbon",-0.067,0.181,0.241,0.71
"Dry.or.Fleshy.FruitFleshy",0.108,0.239,0.308,0.651
"GLOBAL_SLOPE_10MIN",-0.091,0.161,0.38,0.572
"depthtobedrock2",0.898,1.341,0.457,0.503
"meanpH",4.205,1.799,0.994,0.019
"CHELSA_bio10_02",1.47,0.49,1,0.003
"CHELSA_bio10_17",0.658,0.144,1,0
"Most.Common.Life.Formwoody",0.594,0.201,1,0.003
