"","Estimate","Std. Error","sum_of_weight","Pr(>|z|)"
"depthtobedrock2",0.106,0.906,0.117,0.907
"main_habitatopen",-0.018,0.177,0.117,0.918
"meanwatercap",-0.063,1.059,0.126,0.952
"GLOBAL_SLOPE_10MIN",-0.027,0.161,0.155,0.866
"Mean.Corolla.Diameter",-0.027,0.118,0.163,0.816
"Mean.Seed.Length",0.098,0.202,0.336,0.627
"CHELSA_bio10_11",6.361,11.756,0.36,0.588
"Most.Common.Life.Formwoody",0.377,0.413,0.623,0.361
"meancarbon",0.691,0.644,0.713,0.283
"meanpH",5.624,4.162,0.823,0.177
"Mean.Seed.Number.per.Fruit",0.348,0.172,0.964,0.043
"CHELSA_bio10_02",3.511,0.946,1,0
"CHELSA_bio10_17",1.119,0.281,1,0
"Dry.or.Fleshy.FruitFleshy",1.559,0.586,1,0.008
